time,"Altitude (GPS) (m)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","B16DT Throttle position (%)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine Fuel Rate (kg/hour)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (€)","Fuel used price (Today) (€)","Fuel used price (total) (€)","Fuel used price (Week) (€)","Instant engine power (based on fuel consumption) (kW)","Speed (GPS) (km/h)","Vehicle acceleration (m/s²)","Vehicle Fuel Rate (kg/hour)","Vehicle speed (km/h)",Latitude,Longtitude,
15:10:50.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:10:50.248,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,35.32398349162475,25.106829984059118,
15:10:54.053,11.2,,,,,,,,,9,,,,,,,,,,,,,,,,,,,26,,,,35.32542731230351,25.10681758240309,
15:10:54.140,11.2,,,,,,,,,9,,,,,,,,1705,1.7,,,,,,,,,,26,,,,35.32542731230351,25.10681758240309,
15:10:54.236,11.2,,,,,,,,,9,,,,,,,,1705,1.7,,,,,,,,,,26,-0.01,,28,35.325478020536345,25.1068288673245,
15:10:54.323,11.2,,,,,,,,,9,,1,,,,,0.864,1705,1.7,,,,,,,,,3.4,26,-0.01,0.864,28,35.32550541125716,25.106834963023278,
15:10:54.472,11.2,,,,,,,,93.3,9,,1,,,,,0.864,1705,1.7,,,,,,,,,3.4,26,-0.01,0.864,28,35.32556203805784,25.10684756510892,
15:10:54.622,11.2,,,,,,,,93.3,14,,1,,,,,0.864,1705,1.7,,,,,,,,,3.4,26,-0.01,0.864,28,35.32554497891531,25.1068499800483,
15:10:54.740,11.2,,,,,,,,93.3,14,,1,,,,,0.864,1674,1.7,,,,,,,,,3.4,26,-0.01,0.864,28,35.32541994616627,25.1068810831573,
15:10:54.924,11.2,,,,,,28,,93.3,14,3.7,1,0,19.5,347,51.3,0.864,1674,1.7,,,,,,,,,3.4,26,-0.01,0.864,28,35.32532147360987,25.10690573745611,
15:10:55.049,11.2,5.8,6.05,5.2939,6.703,6.04,28,,93.3,14,3.7,1.6,0,19.5,347,51.3,1.296,1674,1.7,0,1.178,18.371,3.436,0,1.77,27.56,5.15,5.1,26,-0.01,1.296,28,35.32534994566411,25.106912595419914,
15:10:55.286,11.2,5.8,6.05,5.2939,6.703,6.04,28,,95.3,14,3.7,1.6,0,19.5,347,51.3,1.296,1674,1.7,0,1.178,18.371,3.436,0,1.77,27.56,5.15,5.1,26,-0.01,1.296,28,35.3254035044406,25.106925441833145,
15:10:55.437,11.2,5.8,6.05,5.2939,6.703,6.04,28,,95.3,20,3.7,1.6,0,19.5,347,51.3,1.296,1674,1.7,0,1.178,18.371,3.436,0,1.77,27.56,5.15,5.1,26,-0.01,1.296,28,35.32543167520442,25.106932440609462,
